system,cpu,memory,disk,timestamp
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 6.9}","{'Total': 51539607552, 'Disponible': 22597042176, ""Pourcentage d'utilisation"": 47.48}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:08.090943
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 6.2}","{'Total': 51539607552, 'Disponible': 22607233024, ""Pourcentage d'utilisation"": 47.46}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:09.097196
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 7.3}","{'Total': 51539607552, 'Disponible': 22597107712, ""Pourcentage d'utilisation"": 47.48}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:10.102973
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 0.0}","{'Total': 51539607552, 'Disponible': 22453633024, ""Pourcentage d'utilisation"": 47.75}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:44.518388
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 6.8}","{'Total': 51539607552, 'Disponible': 22357147648, ""Pourcentage d'utilisation"": 47.94}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:45.523720
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 9.8}","{'Total': 51539607552, 'Disponible': 22403072000, ""Pourcentage d'utilisation"": 47.85}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:46.526113
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 3.9}","{'Total': 51539607552, 'Disponible': 22419947520, ""Pourcentage d'utilisation"": 47.81}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:47.531492
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 6.2}","{'Total': 51539607552, 'Disponible': 22549938176, ""Pourcentage d'utilisation"": 47.58}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:48.535786
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 4.6}","{'Total': 51539607552, 'Disponible': 22599811072, ""Pourcentage d'utilisation"": 47.48}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:49.542639
"{'OS': 'Darwin', 'Version': 'Darwin Kernel Version 25.1.0: Mon Oct 20 19:34:05 PDT 2025; root:xnu-12377.41.6~2/RELEASE_ARM64_T6041', 'Architecture': 'arm64', 'Hostname': 'Abdurahmens-MacBook-Pro.local', 'Python': '3.14.2 (main, Dec  5 2025, 16:49:16) [Clang 17.0.0 (clang-1700.4.4.1)]'}","{'Coeurs physiques': 12, 'Coeurs logiques': 12, ""Pourcentage d'utilisation"": 4.7}","{'Total': 51539607552, 'Disponible': 22610083840, ""Pourcentage d'utilisation"": 47.44}","{'/': 12.7, '/System/Volumes/VM': 3.7, '/System/Volumes/Preboot': 8.8, '/System/Volumes/Update': 0.0, '/System/Volumes/xarts': 1.2, '/System/Volumes/iSCPreboot': 1.2, '/System/Volumes/Hardware': 0.8, '/System/Volumes/Data': 82.1}",2025-12-15T19:36:50.548563
